trial,M1,M2,HungarianD,HungarianPD,M3,M4,M4*
85,3.4250506111471477,1.4860115304916592,3.5475850292399698,3.026304402291178,4.32823515261564,2.3690231856554367,2.231584668275389
86,30.809669479704556,15.464607814723204,1.0,15.3030485082277,14.3030485082277,9.565263012838503,8.703037526502607
87,2.1099259407981354,1.5264182181079462,11.225089221282024,6.807747538547761,5.807747538547761,1.5264182181079462,3.534890293097281
88,22.247818133236265,1.684467192796475,5.290424420317123,5.702209037003791,4.6798817158951955,1.684467192796475,1.684467192796475
89,60.54687037464412,8.470474409145933,1.749435212784105,4.306774465674441,3.306774465674441,13.308311964446911,13.437375018544275
90,1.0652022640201744,1.3355027584672388,10.60033716873897,6.74801756707369,5.926580806748382,1.3355027584672388,1.3725372781095195
91,1.5417855672385923,1.8018626961521311,4.836771099081179,20.582319139426346,19.04053357218775,2.192500842355399,2.1068107674072465
92,15.652425224492072,9.107936926269023,5.4414053379455645,12.568420651791925,11.568420651791925,5.988590762758819,1.2523545304950663
93,5.776290971739531,3.6847787547543565,4.778499515058689,7.260376516213329,6.260376516213329,9.646369318156122,9.659542052850238
94,15.114642505028096,2.6552816796754155,10.969566429717593,14.520603860126489,9.890636227598337,5.594244207603391,5.417940017575192
95,10.533903992037315,1.3131268830908325,7.81433002710845,5.328778089240065,4.284691050757385,1.3131268830908325,1.3131268830908325
96,3.8519142100413277,1.5069468849608034,6.145013433013818,4.439307412052586,3.439307412052586,1.5069468849608034,4.748723174492094
97,31.494063372998163,2.5753741892170465,1.0,12.799800656518759,11.535011077974211,2.5753741892170465,2.5753741892170465
98,10.706546081697855,2.1690771490770437,5.309886233829194,5.722275965793159,4.158831355410105,2.1690771490770437,8.160329102458535
99,113.16158507769298,1.0,1.7786321895166166,2.0,1.0,1.0,1.0351952303420542
100,16.482483461082914,1.0,2.5286452124457437,2.0,1.0,1.0,1.0
101,16.164958300457997,2.526765426404826,3.198244461613685,8.341285675581759,12.38305143928513,2.1600613185822835,2.1600613185822835
102,1.0,1.0,6.2146432859621346,2.0,1.0,1.0,1.3712196673142303
103,7.453790804753038,1.4170834730168913,6.865489226901434,4.28101148935587,3.281011489355869,1.4170834730168913,1.4170834730168913
104,29.13564064037289,1.0005606964360798,10.906470690370602,8.536035348509465,7.536035348509464,1.0005606964360798,1.0005606964360798
105,21.405490660364137,10.685428593062593,6.473545216004575,25.870648186366036,19.339470783346353,8.221709240607018,7.897261917724568
106,24.12304381709593,1.4292324263562532,7.149410013198162,2.591955423881743,1.591955423881743,1.4292324263562532,2.0274788118773333
107,42.95473095079547,4.228733030097109,5.39780490817021,23.153465305587204,22.153465305587204,4.228733030097109,6.09941522003077
108,9.461545423621091,3.0650364018297007,14.11119826634444,10.650079807267346,9.013343260105101,6.6204992133689835,4.07654195731462
109,30.735814794786304,1.0,1.0,2.0,1.0,1.0,1.0
110,3.056746574324635,9.449490884337102,2.3723144865096333,6.004299856844668,5.004299856844668,6.702461125297871,4.540628812748922
111,13.32368896022242,2.3621564206634167,9.715807996659183,11.862210236859683,11.702952214275488,6.463569183483926,6.498333175312315
112,23.895199593698596,1.1194984151924114,6.038868185915134,3.1728198309888884,2.172819830988889,1.1194984151924114,1.1219892576741575
113,1.0,5.49116679737,9.995805002086554,10.348293030934228,8.263835896009574,7.227409243713748,1.7811062698499567
114,21.95748241611611,2.7703570089052096,12.240531469764052,9.448526466503525,8.204999825702554,5.326339202433576,5.326339202433576
115,29.555574423242465,1.1499896633666713,9.794222870301839,6.906034245993505,5.906034245993506,1.1499896633666713,1.1499896633666713
116,19.208016834997,8.954045348771425,8.48166658704957,7.2622242928034355,4.039810798287047,8.764045925598051,8.891658440663893
117,9.905943660459569,5.432965413918873,5.22130432534843,6.22130432534843,6.760010021627313,4.461588405714261,7.248278215045544
118,12.511200521883326,1.9517817575647005,7.069937681002535,11.153991389664496,10.74128699006526,1.9517817575647005,1.6964225288929764
119,30.8468377903821,3.432403156677545,9.907076654481452,11.395130300951758,12.001065175329991,6.344221220969325,6.112308959572762
120,22.275773931548446,7.259697052286593,2.7999281356116335,3.7999281356116343,2.7999281356116335,7.368268191506374,1.9714537480328462
121,1.3840942691394746,1.7622644915360406,13.500166940480325,6.268381821377383,5.268381821377383,1.7622644915360406,1.7622644915360406
122,2.4430580764722776,1.613757621016736,6.09608920207578,19.61221815273227,18.61221815273227,1.613757621016736,1.613757621016736
123,15.317013462932167,4.04667427269204,5.716361992418563,6.1014078344399,5.1014078344399,3.5250612724508197,3.6699927570661264
124,9.780180590487396,3.692465114405379,12.703321406081487,8.378541683968914,7.378541683968914,7.33201638364334,5.986085521828775
125,34.32464292372668,2.0662533611735374,4.125685161202855,3.149655516784813,2.1496555167848133,2.0662533611735374,2.0662533611735374
126,17.073443029788894,3.8386788763823505,11.603332729320408,2.6588083307249155,1.6588083307249155,4.053876647102875,4.6756415318637545
127,7.126899534090269,6.1690569750435,4.6226725605051495,14.520851702671834,16.169950667653964,3.616773980490324,3.617248420446418
128,5.781139361480368,1.7085168696563384,8.740987158497461,6.432585976691041,5.432585976691041,3.2084857354013208,3.2278378256116165
129,19.545612842155638,3.1998749845002465,5.244386896632082,4.568057734814838,3.568057734814839,3.1998749845002465,1.5434305928229468
130,16.108059703093073,2.33961972826445,15.424883673502896,10.547464815269679,4.970631458806716,4.7505954492339555,4.572937689712556
131,1.5414930494177843,2.3959549060579595,9.021108034702443,9.231810230488538,8.830124496074733,2.0459941600006757,1.8277928035328903
132,19.65634435420966,2.5304784884544325,5.812430242226392,3.3970000351789666,2.3970000351789666,2.5304784884544325,2.72553873154086
133,6.09187219830655,2.6155056203818727,8.187852058383527,9.187852058383527,8.187852058383527,2.6155056203818727,1.9467104966170332
134,28.949067205846163,1.8057890878260654,4.500389382937312,3.611578175652131,1.8057890878260654,1.8057890878260654,1.8057890878260654
135,9.680767709953827,1.3015645211366653,6.2709290897215855,3.197988868776355,2.197988868776355,1.3015645211366653,1.025763271747082
136,1.0,1.0,5.282715483493697,2.0,1.0,1.0,1.3170402545934492
137,8.194753092109538,3.304980468160914,7.270814269629344,5.642682105460429,4.6426821054604295,2.4381050006351628,1.5442215869406406
138,2.8937003690531875,1.1758288733547488,7.124492555567818,5.349626199463868,4.349626199463868,1.1758288733547488,1.1758288733547488
139,11.835632295064222,2.9850569693081535,5.776438661905272,3.03219256765422,2.03219256765422,2.7992167593179396,2.7992167593179396
140,27.865497778697325,1.1291944448467879,1.483421183724528,2.2583888896935758,1.1291944448467879,1.1291944448467879,1.588826842834965
141,8.042712237774714,1.3352720905552722,8.632859878962881,4.812962895623496,3.8129628956234956,1.3352720905552722,1.3352720905552722
142,12.397389198695446,3.266817108485937,11.62872560496775,12.333469997393767,11.348112620006336,5.052754742092512,4.903076732303772
