trial,alpha_1.0,alpha_1.5,alpha_2.0,alpha_2.5,alpha_3.0,adaptive
312,2.020942409074932,2.020942409074932,1.3578763601080592,1.3578763601080592,1.3578763601080592,2.020942409074932
313,1.2071802181321551,1.2071802181321551,1.5011474179475701,1.5011474179475701,1.5011474179475701,1.2071802181321551
314,1.0,1.0,1.0,1.0,1.0,1.0
315,1.087846734983473,1.087846734983473,1.087846734983473,1.087846734983473,1.087846734983473,1.087846734983473
316,4.694021208033466,1.6340261047964246,2.060549489309916,1.6924961639625193,1.6924961639625193,8.958545970950983
317,2.8635871830808397,1.0287720540282328,1.0287720540282328,1.0287720540282328,1.0287720540282328,2.8635871830808397
318,2.7563350508145397,2.574548838651351,2.574548838651351,2.574548838651351,1.746358192571087,1.9425770337182202
319,1.6594902638308138,1.6594902638308138,1.6594902638308138,1.6594902638308138,1.6594902638308138,1.6594902638308138
320,1.8520955640083858,2.1513031278546038,1.2350777522081635,1.2350777522081635,1.2403687552011995,2.1513031278546038
321,5.502167481955182,1.2965131123097988,1.5587137165447082,1.5587137165447082,4.91210920836891,1.2965131123097988
322,4.430815867319596,2.28774867050603,1.3552461624798957,1.3552461624798957,1.3552461624798957,4.430815867319596
323,1.6801805504975127,1.449984307141804,1.449984307141804,1.449984307141804,1.449984307141804,1.6801805504975127
324,5.236525160055775,5.383276268948599,5.301477995891258,5.301829805532316,5.301829805532316,5.236525160055775
325,1.3769536243975455,1.3769536243975455,1.3769536243975455,1.3769536243975455,1.4767704667794248,1.3769536243975455
326,1.640483984407653,2.4877536381996395,2.4877536381996395,2.4877536381996395,2.508249630621988,1.640483984407653
327,6.512750601603925,5.793627598856518,6.244253161172919,6.244253161172919,6.244253161172919,5.793627598856518
328,1.0,1.0,1.0,1.0,1.0,1.0
329,2.630689632769052,3.199593277348769,5.652565298157864,1.0175360665818802,1.0175360665818802,2.630689632769052
330,4.169779228562056,4.289158158027594,4.289158158027594,3.6383800853822414,3.6383800853822414,4.169779228562056
331,1.4292777687790061,1.4528820551111996,1.4528820551111996,1.4528820551111996,1.4528820551111996,1.4528820551111996
332,1.0435107442325453,1.0435107442325453,1.2805309219524725,1.2805309219524725,1.2805309219524725,1.0435107442325453
333,2.7613852704389763,2.851623646804126,2.3213289461953392,2.3213289461953392,2.3213289461953392,2.851623646804126
334,2.030546087582451,2.030546087582451,2.0336497582231012,2.0336497582231012,2.0336497582231012,2.030546087582451
335,1.106479752920808,1.106479752920808,1.106479752920808,1.106479752920808,1.106479752920808,1.106479752920808
336,5.513683402830376,5.552978984459793,3.403661919240801,5.561145461262848,3.439773921282557,5.552978984459793
337,2.8287424801999874,2.8287424801999874,2.8287424801999874,2.8287424801999874,2.4788786960254883,2.8287424801999874
338,4.749264917526377,3.4493766603255325,4.808589470134989,3.5447771733901945,3.298775030977903,4.911548469620883
339,5.573033809749212,1.1573607679058875,1.1573607679058875,1.1573607679058875,1.1573607679058875,5.573033809749212
340,1.0,1.0,1.0,1.0,1.0,1.0
341,3.374766281702048,3.374766281702048,3.8406287156576138,3.6006148624447105,4.146565624011016,3.374766281702048
342,1.4571888957735017,1.4571888957735017,5.351871295977038,4.594930446157173,4.594930446157173,1.4571888957735017
343,1.6065179407900436,1.6065179407900436,1.6065179407900436,1.6065179407900436,1.6065179407900436,1.6065179407900436
344,5.914058687735175,4.003415067275707,4.2378836210958015,4.2378836210958015,4.2378836210958015,5.914058687735175
345,6.681905531377428,3.71955216750023,3.938446779670129,3.938446779670129,3.938446779670129,6.681905531377428
346,8.44232998354293,8.378504520502888,8.378504520502888,8.378504520502888,2.613910127776838,8.020310634064728
347,1.7206272550495403,1.9109647095710014,2.0876627778840375,1.9109647095710014,1.9109647095710014,1.7206272550495403
