trial,model,target_rank_in_tour,tour_length,fcr
70,M4* greedy,1,11.085610642673553,1.1492391870823504
70,M4* 2-opt,1,10.920825296924647,1.1492391870823504
71,M4* greedy,4,13.992592777527305,1.5786048890586621
71,M4* 2-opt,3,13.965977989842118,1.4059336473410593
72,M4* greedy,3,13.121199384523841,1.0552419218646882
72,M4* 2-opt,4,12.726767446089578,1.1238627770854557
73,M4* greedy,4,11.449758661620997,1.1199470070249895
73,M4* 2-opt,4,11.449758661620997,1.1199470070249895
74,M4* greedy,6,13.807416025809339,2.290526823002417
74,M4* 2-opt,3,12.870797972323892,1.184327023480948
75,M4* greedy,4,10.156648693398918,2.184463913512377
75,M4* 2-opt,5,9.311818184109732,4.608256650545724
76,M4* greedy,4,13.970352289762893,1.5537291160394826
76,M4* 2-opt,2,13.67273962690916,1.0097992895852002
77,M4* greedy,4,13.47828107845099,1.0428893184301258
77,M4* 2-opt,4,13.47828107845099,1.0428893184301258
78,M4* greedy,1,12.527722949556397,4.657252520248899
78,M4* 2-opt,1,12.527722949556397,4.609520179828977
79,M4* greedy,1,13.31213827005335,3.187149235675843
79,M4* 2-opt,1,13.31213827005335,2.905361512719763
80,M4* greedy,3,12.931869226010562,1.9848992325978194
80,M4* 2-opt,5,11.58617845666868,4.813384821987354
81,M4* greedy,7,13.879834836103461,3.1571409866650506
81,M4* 2-opt,3,12.296348620837499,1.0086461774731252
82,M4* greedy,1,10.355075290522127,1.0
82,M4* 2-opt,3,10.179006287933628,3.425598065185396
83,M4* greedy,5,13.618977045975015,1.791062882582004
83,M4* 2-opt,5,12.752213762933746,1.5595390659218777
84,M4* greedy,6,12.445934126494258,2.517913079848686
84,M4* 2-opt,5,10.616462576370676,1.933019462006872
85,M4* greedy,5,13.118338531127787,2.231584668275389
85,M4* 2-opt,4,10.283057548309198,2.013306959913444
86,M4* greedy,5,12.359085036774745,8.703037526502607
86,M4* 2-opt,6,12.179535148447679,8.993006871109113
87,M4* greedy,2,13.39638071723239,3.534890293097281
87,M4* 2-opt,2,12.725469138499925,3.534890293097281
88,M4* greedy,5,13.166822457575883,1.684467192796475
88,M4* 2-opt,3,11.294570842173318,1.198062227155342
89,M4* greedy,1,13.312131296879901,13.437375018544275
89,M4* 2-opt,1,12.722673891617484,13.437375018544275
90,M4* greedy,6,13.640343193306217,1.3725372781095195
90,M4* 2-opt,4,12.975955130799191,1.1245791934159401
91,M4* greedy,5,13.549610365141676,2.1068107674072465
91,M4* 2-opt,5,11.688397178706705,1.944164656461754
92,M4* greedy,2,13.775015583961228,1.2523545304950663
92,M4* 2-opt,2,10.834860760537023,1.2523545304950663
93,M4* greedy,1,12.784769938802105,9.659542052850238
93,M4* 2-opt,1,12.784769938802105,9.64636931815612
94,M4* greedy,3,11.170554461468788,5.417940017575192
94,M4* 2-opt,1,10.010712858097692,4.404642326106953
95,M4* greedy,3,13.873339333643955,1.3131268830908325
95,M4* 2-opt,2,13.483151270756217,1.224176731335256
96,M4* greedy,6,13.26646685905904,4.748723174492094
96,M4* 2-opt,5,11.937731097553996,3.9216174932645482
97,M4* greedy,4,9.579134751297712,2.5753741892170465
97,M4* 2-opt,1,8.20357409753821,1.0
98,M4* greedy,1,8.52493761421458,8.160329102458535
98,M4* 2-opt,1,8.100675232967884,6.996150185324353
99,M4* greedy,2,13.339161557718821,1.0351952303420542
99,M4* 2-opt,2,11.330923467934223,1.0351952303420542
100,M4* greedy,1,13.206294819651253,1.0
100,M4* 2-opt,1,12.302640826623023,1.0
101,M4* greedy,4,11.987762437921058,2.1600613185822835
101,M4* 2-opt,2,10.436209033454762,1.1929472004245554
102,M4* greedy,2,13.617654897170512,1.3712196673142303
102,M4* 2-opt,2,13.33782642896394,1.3712196673142303
103,M4* greedy,5,13.827469083769,1.4170834730168913
103,M4* 2-opt,5,13.827469083769,1.4170834730168913
104,M4* greedy,2,13.780888658385278,1.0005606964360798
104,M4* 2-opt,3,13.433427390191103,1.5281468807466139
105,M4* greedy,3,12.733500610297412,7.897261917724568
105,M4* 2-opt,3,12.733500610297412,7.678883576050653
106,M4* greedy,3,13.764059634076844,2.0274788118773333
106,M4* 2-opt,3,13.684895689622984,1.9875775198878565
107,M4* greedy,2,13.223399616634941,6.09941522003077
107,M4* 2-opt,2,13.223399616634941,5.799741169370331
108,M4* greedy,1,11.714556572246607,4.07654195731462
108,M4* 2-opt,1,11.714556572246607,4.025228687691483
109,M4* greedy,1,11.64610939531972,1.0
109,M4* 2-opt,1,11.64610939531972,1.0
110,M4* greedy,4,13.53388352217889,4.540628812748922
110,M4* 2-opt,4,13.53388352217889,4.540628812748922
111,M4* greedy,1,13.868511062972003,6.498333175312315
111,M4* 2-opt,1,13.868511062972003,6.42346620589256
112,M4* greedy,3,12.795103071116785,1.1219892576741575
112,M4* 2-opt,3,12.019467432745698,1.1219892576741575
113,M4* greedy,5,12.099369927235378,1.7811062698499567
113,M4* 2-opt,5,11.371923093464442,1.7811062698499567
114,M4* greedy,1,13.707394647868345,5.326339202433576
114,M4* 2-opt,1,13.707394647868345,5.326339202433576
115,M4* greedy,3,12.957381727621648,1.1499896633666713
115,M4* 2-opt,5,12.11894875386714,1.9283212165834158
116,M4* greedy,1,10.125779235194718,8.891658440663893
116,M4* 2-opt,1,10.125779235194718,8.891658440663893
117,M4* greedy,1,12.492916372628157,7.248278215045544
117,M4* 2-opt,1,12.492916372628157,7.004822708013405
118,M4* greedy,6,12.380424048779858,1.6964225288929764
118,M4* 2-opt,4,11.882081622095221,1.2009842883683384
119,M4* greedy,2,13.238339489768334,6.112308959572762
119,M4* 2-opt,2,13.238339489768334,5.9271164413824575
120,M4* greedy,3,10.54134576544087,1.9714537480328462
120,M4* 2-opt,2,9.711712240470948,1.334526857650763
121,M4* greedy,4,13.796868466282891,1.7622644915360406
121,M4* 2-opt,4,13.796868466282891,1.7622644915360406
122,M4* greedy,3,13.19342201808791,1.613757621016736
122,M4* 2-opt,9,12.102238299328224,6.171862353921584
123,M4* greedy,1,13.701653065965587,3.6699927570661264
123,M4* 2-opt,1,13.701653065965587,3.061738880010341
124,M4* greedy,2,12.506612300507264,5.986085521828775
124,M4* 2-opt,3,12.379993940673307,6.076144808588923
125,M4* greedy,2,12.997341613694072,2.0662533611735374
125,M4* 2-opt,8,12.645372337931043,9.579940656292314
126,M4* greedy,1,11.655545947839872,4.6756415318637545
126,M4* 2-opt,1,11.655545947839872,4.65896019992008
127,M4* greedy,6,11.72398766507308,3.617248420446418
127,M4* 2-opt,6,11.72398766507308,3.617248420446418
128,M4* greedy,2,13.150575982794917,3.2278378256116165
128,M4* 2-opt,2,13.150575982794917,3.0237444620828695
129,M4* greedy,2,13.909430800464795,1.5434305928229468
129,M4* 2-opt,3,13.107398511996964,1.5588247634925088
130,M4* greedy,3,10.62276893374884,4.572937689712556
130,M4* 2-opt,4,10.353345816269051,4.744231476911575
131,M4* greedy,5,12.573153544935703,1.8277928035328903
131,M4* 2-opt,3,12.257077544697571,1.4290519465876923
132,M4* greedy,7,13.796420373006537,2.72553873154086
132,M4* 2-opt,7,13.324860787334277,2.5982003746951476
133,M4* greedy,5,13.543499880465333,1.9467104966170332
133,M4* 2-opt,4,12.529144063082429,1.7866245407810872
134,M4* greedy,1,6.995455633191616,1.8057890878260654
134,M4* 2-opt,2,6.950101833345434,1.8204487863962162
135,M4* greedy,4,12.89598241486147,1.025763271747082
135,M4* 2-opt,3,12.216739723991353,1.0789422289868287
136,M4* greedy,2,13.589781363142958,1.3170402545934492
136,M4* 2-opt,2,13.589781363142958,1.3170402545934492
137,M4* greedy,4,13.792119332617004,1.5442215869406406
137,M4* 2-opt,6,12.851980486554403,2.5695574083487185
138,M4* greedy,5,12.450642218081635,1.1758288733547488
138,M4* 2-opt,7,11.597799423715099,2.525649387308591
139,M4* greedy,3,12.792323381891713,2.7992167593179396
