prior_type,model,fcr
concentrated,M2,5.482923
concentrated,M2,1.957245
concentrated,M2,1.000000
concentrated,M2,1.712155
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,9.651546
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.341447
concentrated,M2,1.192823
concentrated,M2,2.495324
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.135925
concentrated,M2,1.000000
concentrated,M2,4.206484
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.464151
concentrated,M2,1.786118
concentrated,M2,1.498387
concentrated,M2,5.585825
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.396931
concentrated,M4*,1.000000
concentrated,M4*,1.099105
concentrated,M4*,1.156139
concentrated,M4*,7.010319
concentrated,M4*,1.000000
concentrated,M4*,1.380227
concentrated,M4*,4.388005
concentrated,M4*,1.000000
concentrated,M4*,2.604254
concentrated,M4*,3.597555
concentrated,M4*,1.016669
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.907094
concentrated,M4*,1.715804
concentrated,M4*,2.148400
concentrated,M4*,1.586817
concentrated,M4*,1.060993
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,2.209983
concentrated,M4*,1.403071
concentrated,M4*,4.489220
concentrated,M4*,3.147764
concentrated,M4*,1.398439
concentrated,M4*,1.375738
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,2.743402
concentrated,M4*,1.420017
concentrated,M4*,1.809521
concentrated,M4*,1.119802
concentrated,M4*,1.316982
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.270872
concentrated,M4*,1.000000
concentrated,M4*,1.554170
concentrated,M4*,1.459452
concentrated,M4*,1.000000
concentrated,M4*,1.390924
concentrated,M4*,3.141929
concentrated,M4*,1.331192
concentrated,M4*,3.012596
concentrated,M4*,1.000000
concentrated,M4*,1.723452
concentrated,M4*,1.916377
concentrated,M4*,2.290394
concentrated,M4*,1.089415
concentrated,M4*,1.000000
concentrated,M4*,1.027248
concentrated,M4*,1.364770
concentrated,M4*,1.000000
concentrated,M4*,1.386246
concentrated,M4*,1.000000
concentrated,M4*,1.003760
concentrated,M4*,1.319302
concentrated,M4*,1.000000
concentrated,M4*,1.440462
concentrated,M4*,1.476514
concentrated,M4*,1.086063
concentrated,M4*,2.059417
concentrated,M4*,7.647978
concentrated,M4*,2.139186
concentrated,M4*,1.993928
concentrated,M4*,1.526206
concentrated,M4*,1.000000
concentrated,M4*,1.402122
concentrated,M4*,1.942049
concentrated,M4*,1.000000
concentrated,M4*,2.046441
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.449833
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,4.056939
concentrated,M4*,1.133102
concentrated,M4*,1.635922
concentrated,M4*,1.187055
concentrated,M4*,1.535840
concentrated,M4*,1.000000
concentrated,M4*,2.741277
concentrated,M4*,1.000000
concentrated,M4*,1.377250
concentrated,M4*,1.329517
concentrated,M4*,1.483464
concentrated,M4*,1.001119
concentrated,M4*,1.749286
concentrated,M4*,2.929344
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,4.112016
concentrated,M4*,1.829071
concentrated,M4*,7.611259
concentrated,M4*,1.000000
concentrated,M4*,2.302921
concentrated,M4*,1.201920
concentrated,M4*,2.153615
concentrated,M4*,1.779928
concentrated,M4*,2.752140
concentrated,M4*,1.160797
concentrated,M4*,4.184698
concentrated,M4*,1.318332
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.847127
concentrated,M4*,2.009494
concentrated,M4*,1.154443
concentrated,M4*,5.679188
concentrated,M4*,1.143874
concentrated,M4*,1.286846
concentrated,M4*,1.000000
concentrated,M4*,1.796985
concentrated,M4*,1.002581
concentrated,M4*,1.000000
concentrated,M4*,3.289059
concentrated,M4*,1.000000
concentrated,M4*,2.440206
concentrated,M4*,1.000000
concentrated,M4*,3.218011
concentrated,M4*,1.277240
concentrated,M4*,1.000000
concentrated,M4*,1.336069
concentrated,M4*,7.927862
concentrated,M4*,2.326030
concentrated,M4*,1.028763
concentrated,M4*,1.000000
concentrated,M4*,1.223936
concentrated,M4*,1.716672
concentrated,M4*,1.111972
concentrated,M4*,7.235316
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.111388
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.538811
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.729952
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.102240
concentrated,M4*,1.068555
concentrated,M4*,1.000000
concentrated,M4*,3.304114
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.045842
concentrated,M4*,2.245557
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,4.839588
concentrated,M4*,1.000000
concentrated,M4*,1.544118
concentrated,M4*,3.023800
concentrated,M4*,3.846564
concentrated,M4*,1.000000
concentrated,M4*,1.503992
concentrated,M4*,1.099192
concentrated,M4*,1.461108
concentrated,M4*,1.000000
concentrated,M4*,4.013983
concentrated,M4*,1.185096
concentrated,M4*,1.000000
concentrated,M4*,3.990885
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.531078
concentrated,M4*,1.118656
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.820639
concentrated,M4*,1.000000
concentrated,M4*,1.329421
concentrated,M4*,1.226680
concentrated,M4*,1.000000
concentrated,M4*,1.232681
concentrated,M4*,1.000000
concentrated,M4*,8.445611
concentrated,M4*,1.000000
concentrated,M4*,2.611220
concentrated,M4*,1.508537
concentrated,M4*,1.593789
concentrated,M4*,1.102768
concentrated,M4*,1.016060
concentrated,M4*,1.000000
concentrated,M4*,1.033659
concentrated,M4*,1.843519
concentrated,M4*,3.125730
concentrated,M4*,1.000000
concentrated,M4*,1.371612
concentrated,M4*,1.000000
concentrated,M4*,1.019965
concentrated,M4*,1.263899
concentrated,M4*,2.340839
concentrated,M4*,1.066217
concentrated,M4*,1.796234
concentrated,M4*,1.089457
concentrated,M4*,1.666147
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.371055
concentrated,M4*,1.138409
concentrated,M4*,1.000000
concentrated,M4*,1.534451
concentrated,M4*,1.000340
concentrated,M4*,1.618051
concentrated,M4*,3.737977
concentrated,M4*,1.322787
concentrated,M4*,1.007263
concentrated,M4*,1.064480
concentrated,M4*,1.000000
concentrated,M4*,13.004450
concentrated,M4*,1.914700
concentrated,M4*,2.100855
concentrated,M4*,1.227636
concentrated,M4*,1.078907
concentrated,M4*,1.828874
concentrated,M4*,1.336474
concentrated,M4*,5.392886
concentrated,M4*,3.569703
concentrated,M4*,1.858273
concentrated,M4*,1.000000
concentrated,M4*,2.085362
concentrated,M4*,1.141470
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.096654
concentrated,M4*,1.010793
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.313037
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.694221
concentrated,M4*,1.000000
concentrated,M4*,3.188494
concentrated,M4*,3.539447
concentrated,M4*,1.046910
concentrated,M4*,1.471139
concentrated,M4*,1.211692
concentrated,M4*,1.037506
concentrated,M4*,1.000000
concentrated,M4*,2.442238
concentrated,M4*,1.796877
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.749310
concentrated,M4*,2.078947
concentrated,M4*,1.294918
concentrated,M4*,3.106536
concentrated,M4*,4.492429
concentrated,M4*,1.101160
concentrated,M4*,2.427010
concentrated,M4*,1.047119
concentrated,M4*,1.861825
concentrated,M4*,2.687105
concentrated,M4*,1.536813
concentrated,M4*,1.584118
concentrated,M4*,1.412110
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.708172
concentrated,M4*,1.000000
concentrated,M4*,6.393341
concentrated,M4*,1.000000
concentrated,M4*,1.254504
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.315027
concentrated,M4*,1.789515
concentrated,M4*,3.550156
concentrated,M4*,1.000000
concentrated,M4*,1.350136
concentrated,M4*,3.852636
concentrated,M4*,1.036457
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,2.574795
concentrated,M4*,1.000000
concentrated,M4*,1.101198
concentrated,M4*,3.688875
concentrated,M4*,2.494634
concentrated,M4*,1.000000
concentrated,M4*,3.894571
concentrated,M4*,3.277772
concentrated,M4*,4.934255
concentrated,M4*,3.327855
concentrated,M4*,1.488979
concentrated,M4*,2.936878
concentrated,M4*,4.672318
concentrated,M4*,1.697687
concentrated,M4*,1.029035
concentrated,M4*,1.673228
concentrated,M4*,1.144859
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,2.535646
concentrated,M4*,1.000000
concentrated,M4*,1.381357
concentrated,M4*,1.113547
concentrated,M4*,2.537923
concentrated,M4*,3.081684
concentrated,M4*,1.000000
concentrated,M4*,2.480249
concentrated,M4*,1.000000
concentrated,M4*,2.143686
concentrated,M4*,2.091744
concentrated,M4*,1.000000
concentrated,M4*,2.189235
concentrated,M4*,1.000000
concentrated,M4*,1.993464
concentrated,M4*,2.421666
concentrated,M4*,3.233354
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.030163
concentrated,M4*,2.475284
concentrated,M4*,1.134973
concentrated,M4*,3.750282
concentrated,M4*,1.581718
concentrated,M4*,1.485296
concentrated,M4*,1.000000
concentrated,M4*,3.357015
concentrated,M4*,2.310440
concentrated,M4*,3.250723
concentrated,M4*,2.363157
concentrated,M4*,1.000000
concentrated,M4*,1.399359
concentrated,M4*,1.751828
concentrated,M4*,2.861468
concentrated,M4*,1.689963
concentrated,M4*,1.000000
concentrated,M4*,1.382076
concentrated,M4*,1.000000
concentrated,M4*,1.843172
concentrated,M4*,1.000000
concentrated,M4*,4.124205
concentrated,M4*,3.016755
concentrated,M4*,1.000000
concentrated,M4*,1.000581
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.498698
concentrated,M4*,1.000000
concentrated,M4*,1.465404
concentrated,M4*,1.915197
concentrated,M4*,2.783125
concentrated,M4*,2.425577
concentrated,M4*,1.192430
concentrated,M4*,1.000000
concentrated,M4*,1.124898
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.478536
concentrated,M4*,1.505076
concentrated,M4*,1.071304
concentrated,M4*,1.000000
concentrated,M4*,1.015469
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,4.293549
concentrated,M4*,1.884689
concentrated,M4*,1.290791
concentrated,M4*,1.422162
concentrated,M4*,4.436402
concentrated,M4*,1.000000
concentrated,M4*,1.624165
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.717153
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.122903
concentrated,M4*,2.809939
concentrated,M4*,1.037822
concentrated,M4*,1.000000
concentrated,M4*,3.777953
concentrated,M4*,1.000000
concentrated,M4*,1.149471
concentrated,M4*,2.624233
concentrated,M4*,1.157506
concentrated,M4*,2.341648
concentrated,M4*,2.163226
concentrated,M4*,1.165450
concentrated,M4*,1.000000
concentrated,M4*,1.185693
concentrated,M4*,1.431399
concentrated,M4*,1.002737
concentrated,M4*,1.355186
concentrated,M4*,1.000000
concentrated,M4*,2.605330
concentrated,M4*,1.905953
concentrated,M4*,1.080709
concentrated,M4*,1.260852
concentrated,M4*,7.627564
concentrated,M4*,1.132913
concentrated,M4*,1.713518
concentrated,M4*,1.062197
concentrated,M4*,1.034782
concentrated,M4*,1.491234
concentrated,M4*,1.045660
concentrated,M4*,1.366258
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.441258
concentrated,M4*,4.885507
concentrated,M4*,1.101056
concentrated,M4*,3.010881
concentrated,M4*,1.169001
concentrated,M4*,1.612618
concentrated,M4*,3.292954
concentrated,M4*,1.032396
concentrated,M4*,4.079896
concentrated,M4*,4.151414
concentrated,M4*,1.039595
concentrated,M4*,4.344305
concentrated,M4*,3.400985
concentrated,M4*,1.804527
concentrated,M4*,3.368824
concentrated,M4*,6.569162
concentrated,M4*,2.167837
concentrated,M4*,1.004216
concentrated,M4*,3.720522
concentrated,M4*,1.888838
concentrated,M4*,1.024948
concentrated,M4*,2.609428
concentrated,M4*,1.000000
concentrated,M4*,6.116073
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.297136
concentrated,M4*,1.000000
concentrated,M4*,2.205250
concentrated,M4*,1.745048
concentrated,M4*,1.000000
concentrated,M4*,2.042348
concentrated,M4*,1.180388
concentrated,M4*,1.855847
concentrated,M4*,1.002030
concentrated,M4*,1.000000
concentrated,M4*,10.834755
concentrated,M4*,1.079045
concentrated,M4*,3.698926
concentrated,M4*,1.705740
concentrated,M4*,1.000000
concentrated,M4*,3.630731
concentrated,M4*,1.401284
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.013014
concentrated,M4*,1.200482
concentrated,M4*,2.416629
concentrated,M4*,3.292486
concentrated,M4*,1.000000
concentrated,M4*,1.518869
concentrated,M4*,1.040687
concentrated,M4*,1.033952
concentrated,M4*,1.824249
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.746653
concentrated,M4*,1.000000
concentrated,M4*,1.466577
concentrated,M4*,2.239280
concentrated,M4*,1.562733
concentrated,M4*,7.212484
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.268869
concentrated,M4*,1.341447
concentrated,M4*,1.192823
concentrated,M4*,4.965948
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,1.135925
concentrated,M4*,3.223761
concentrated,M4*,3.289382
concentrated,M4*,1.000000
concentrated,M4*,1.000000
concentrated,M4*,3.004141
concentrated,M4*,3.115967
concentrated,M4*,1.306489
concentrated,M4*,5.613917
concentrated,M4,1.000000
concentrated,M4,1.000000
concentrated,M4,1.396931
concentrated,M4,2.409501
concentrated,M4,4.843836
concentrated,M4,1.156139
concentrated,M4,7.010319
concentrated,M4,1.000000
concentrated,M4,1.195948
concentrated,M4,4.139225
concentrated,M4,1.000000
concentrated,M4,2.604254
concentrated,M4,1.000000
concentrated,M4,1.016669
concentrated,M4,1.000000
concentrated,M4,1.000000
concentrated,M4,1.000000
concentrated,M4,1.565079
concentrated,M4,1.715804
concentrated,M4,1.577313
concentrated,M4,1.033854
concentrated,M4,1.060993
concentrated,M4,1.000000
concentrated,M4,1.000000
concentrated,M4,1.030992
concentrated,M4,1.185351
concentrated,M4,4.613361
concentrated,M4,1.128502
concentrated,M4,1.398439
concentrated,M4,1.194787
concentrated,M4,1.066242
concentrated,M4,1.000000
concentrated,M4,1.740426
concentrated,M4,1.318893
concentrated,M4,1.809521
